ID	Population	Taxon	HWe	HW	IFW1	IFW2	HL1	HL2	ScL	EL	Om	WL	PL	PPL	GL	HFL	PrW	hw1	hw2	hw3	CI	FLI	SI	notch	EI	FLD	CEI
serico128	MAR	MAR	0.875	0.875	0.592	0.24	0.84	0.76	0.625	0.144	10	1.15	0.32	0.208	0.868	0.975	0.6	0.837	0.92	0.6	104.17	67.66	71.43	0.08	16.46	0.35	9.14
serico129	MAR	MAR	0.912	0.944	0.625	0.225	0.875	0.8	0.682	0.175	9	1.225	0.224	0.176	0.868	1	0.625	0.944	1.024	0.625	104.23	68.53	74.78	0.08	19.19	0.4	8.22
serico130	SAR	SAR	0.925	0.925	0.624	0.225	0.875	0.775	0.651	0.117	7	1.12	0.24	0.208	0.775	0.961	0.575	0.875	0.95	0.625	105.71	67.46	70.38	0.1	12.65	0.4	10.81
serico131	SAR	SAR	0.976	0.93	0.656	0.25	0.93	0.837	0.682	0.135	7	1.3	0.256	0.25	0.84	1.023	0.64	0.96	1.04	0.68	104.95	67.21	69.88	0.09	13.83	0.41	9.53
serico132	SAR	SAR	1.075	1.08	0.725	0.35	1.05	0.925	0.775	0.144	8	1.364	0.341	0.288	0.92	1.2	0.736	1	1.12	0.72	102.38	67.44	72.09	0.13	13.4	0.38	11.63
serico133	SAR	SAR	0.98	0.93	0.6	0.288	0.975	0.875	0.725	0.135	8	1.24	0.3	0.275	0.875	1.05	0.64	0.96	1.04	0.68	100.51	61.22	73.98	0.1	13.78	0.31	10.2
serico134	SAR	SAR	1	0.975	0.651	0.31	0.961	0.868	0.72	0.161	8	1.302	0.279	0.248	0.86	1.125	0.65	0.93	1.023	0.651	104.06	65.1	72	0.09	16.1	0.34	9.3
serico135	SAR	SAR	1	0.975	0.656	0.288	0.94	0.86	0.72	0.135	7	1.28	0.275	0.225	0.825	1.075	0.65	0.925	1.025	0.65	106.38	65.6	72	0.08	13.5	0.37	8
serico136	SAR	SAR	1.023	1.023	0.736	0.32	1.05	0.95	0.8	0.16	9	1.4	0.28	0.225	0.899	1.175	0.675	1.025	1.15	0.75	97.43	71.95	78.2	0.1	15.64	0.42	9.78
serico137	SAR	SAR	0.9	0.9	0.608	0.256	0.84	0.78	0.651	0.108	7	1.147	0.248	0.2	0.775	0.95	0.558	0.775	0.9	0.625	107.14	67.56	72.33	0.06	12	0.35	6.67
serico138	SAR	SAR	1.125	1.125	0.752	0.304	1.1	0.975	0.775	0.144	8	1.333	0.28	0.2	0.95	1.147	0.68	1.05	1.15	0.75	102.27	66.84	68.89	0.13	12.8	0.45	11.11
serico139	SAR	SAR	1	0.975	0.656	0.288	0.96	0.88	0.72	0.126	7	1.28	0.22	0.2	0.868	1.05	0.6	0.6	0.975	0.65	104.17	65.6	72	0.08	12.6	0.37	8
serico140	SAR	SAR	0.9	0.9	0.576	0.256	0.86	0.8	0.68	0.12	7	1.2	0.22	0.2	0.8	1	0.544	0.82	0.9	0.6	104.65	64	75.56	0.06	13.33	0.32	6.67
serico141	SAR	SAR	0.95	0.925	0.62	0.28	0.875	0.8	0.651	0.126	8	1.15	0.22	0.2	0.806	1	0.575	0.85	0.925	0.6	108.57	65.26	68.53	0.08	13.26	0.34	7.89
serico142	SAR	SAR	0.95	0.93	0.624	0.22	0.93	0.837	0.651	0.152	8	1.209	0.225	0.224	0.88	1.1	0.6	0.875	1	0.525	102.15	65.68	68.53	0.09	16	0.56	9.79
serico143	SAR	SAR	1.025	0.93	0.7	0.275	1	0.9	0.76	0.16	8	1.325	0.35	0.25	0.837	1.125	0.608	0.899	1.023	0.682	102.5	68.29	74.15	0.1	15.61	0.43	9.76
serico144	SAR	SAR	1	1.04	0.62	0.279	0.961	0.868	0.744	0.144	9	1.25	0.32	0.26	0.868	1.085	0.627	0.899	1.054	0.682	104.06	62	74.4	0.09	14.4	0.34	9.3
serico145	SAR	SAR	0.92	0.96	0.62	0.24	0.95	0.875	0.7	0.144	8	1.178	0.279	0.186	0.837	1.06	0.58	0.868	0.961	0.62	96.84	67.39	76.09	0.08	15.65	0.38	8.15
serico146	SAR	SAR	1.08	1.08	0.72	0.304	1.1	0.975	0.744	0.162	9	1.302	0.32	0.24	0.96	1.116	0.7	0.961	1.116	0.704	98.18	66.67	68.89	0.13	15	0.42	11.57
serico147	SAR	SAR	1.025	1.05	0.7	0.3	0.98	0.9	0.736	0.161	9	1.3	0.24	0.24	0.88	1.14	0.62	0.92	1.08	0.72	104.59	68.29	71.8	0.08	15.71	0.4	7.8
serico148	SAR	SAR	1.054	1.08	0.75	0.279	1.08	0.96	0.75	0.144	9	1.375	0.375	0.3	0.975	1.175	0.675	1.04	1.16	0.76	97.59	71.16	71.16	0.12	13.66	0.47	11.39
serico149	SAR	SAR	1.023	1.054	0.725	0.279	1.023	0.899	0.775	0.168	9	1.323	0.31	0.279	0.96	1.116	0.66	0.93	1.054	0.744	100	70.87	75.76	0.12	16.42	0.45	12.12
serico150	SAR	SAR	1.06	1.06	0.704	0.304	1.023	0.93	0.76	0.176	8	1.36	0.3	0.24	0.92	1.16	0.64	0.9	1.1	0.704	103.62	66.42	71.7	0.09	16.6	0.4	8.77
serico151	SAR	SAR	1.1	1.075	0.75	0.325	1.05	0.925	0.75	0.168	9	1.3	0.341	0.275	0.925	1.2	0.64	1	1.12	0.72	104.76	68.18	68.18	0.13	15.27	0.43	11.36
serico152	SAR	SAR	1.05	1.075	0.704	0.272	1.025	0.925	0.713	0.168	8	1.302	0.272	0.24	0.925	1.18	0.682	0.992	1.085	0.672	102.44	67.05	67.9	0.1	16	0.43	9.52
serico153	SAR	SAR	1.025	1.025	0.704	0.288	1	0.9	0.76	0.144	8	1.35	0.26	0.22	0.92	1.12	0.608	0.975	1.1	0.704	102.5	68.68	74.15	0.1	14.05	0.42	9.76
serico154	SAR	SAR	0.992	0.992	0.704	0.256	0.975	0.875	0.725	0.16	8	1.271	0.336	0.22	0.868	1.15	0.62	0.899	1.054	0.68	101.74	70.97	73.08	0.1	16.13	0.45	10.08
serico155	BON	BON	1.147	1.178	0.74	0.28	1.15	0.975	0.775	0.176	11	1.48	0.32	0.24	1.025	1.24	0.775	1.2	1.28	0.875	99.74	64.52	67.57	0.18	15.34	0.46	15.26
serico156	BON	BON	1.16	1.18	0.76	0.3	1.085	0.93	0.775	0.16	11	1.519	0.38	0.192	0.961	1.302	0.784	1.2	1.24	0.8	106.91	65.52	66.81	0.16	13.79	0.46	13.36
serico157	BON	BON	1.2	1.2	0.744	0.31	1.125	0.95	0.8	0.162	10	1.52	0.372	0.217	1	1.271	0.8	1.12	1.24	0.775	106.67	62	66.67	0.18	13.5	0.43	14.58
serico158	BON	BON	1.14	1.18	0.768	0.288	1.085	0.93	0.825	0.135	9	1.488	0.372	0.186	1.04	1.125	0.744	1.08	1.24	0.75	105.07	67.37	72.37	0.16	11.84	0.48	13.6
serico159	BON	BON	1.06	1.075	0.68	0.24	1.025	0.875	0.744	0.144	11	1.302	0.28	0.24	0.88	1.2	0.68	0.975	1.1	0.65	103.41	64.15	70.19	0.15	13.58	0.44	14.15
serico160	BON	BON	1	1.08	0.7	0.24	1.08	0.92	0.78	0.175	10	1.4	0.28	0.28	0.88	1.116	0.74	1.023	1.085	0.68	92.59	70	78	0.16	17.5	0.46	16
serico161	BON	BON	0.961	0.975	0.65	0.25	1	0.875	0.682	0.16	8	1.25	0.24	0.248	0.806	1.16	0.682	0.925	1	0.656	96.1	67.64	70.97	0.13	16.65	0.4	13.01
serico162	BON	BON	1.16	1.116	0.76	0.256	1.125	0.925	0.85	0.162	11	1.44	0.3	0.288	0.95	1.28	0.775	1.02	1.209	0.713	103.11	65.52	73.28	0.2	13.97	0.5	17.24
serico163	BON	BON	1.225	1.225	0.8	0.25	1.116	0.961	0.85	0.175	11	1.4	0.304	0.25	0.899	1.271	0.78	1.175	1.3	0.75	109.77	65.31	69.39	0.16	14.29	0.55	12.65
serico164	BON	BON	1.05	1.1	0.672	0.272	1.023	0.961	0.775	0.168	11	1.3	0.275	0.25	0.825	1.175	0.68	1.023	1.085	0.744	102.64	64	73.81	0.06	16	0.4	5.9
serico165	BON	BON	1.116	1.116	0.75	0.3	1.085	0.93	0.8	0.168	10	1.4	0.3	0.275	0.9	1.32	0.775	1.085	1.178	0.806	102.86	67.2	71.68	0.16	15.05	0.45	13.89
serico166	BON	BON	1.12	1.12	0.68	0.24	1.023	0.868	0.744	0.153	10	1.302	0.28	0.22	0.899	1.2	0.682	1.04	1.2	0.76	109.48	60.71	66.43	0.16	13.66	0.44	13.84
serico167	BON	BON	1.075	1.1	0.675	0.25	1.023	0.868	0.775	0.153	10	1.36	0.26	0.24	0.875	1.225	0.713	1.054	1.116	0.682	105.08	62.79	72.09	0.16	14.23	0.43	14.42
serico168	BON	BON	1.08	1.12	0.7	0.25	1.054	0.899	0.8	0.135	9	1.32	0.275	0.25	0.92	1.25	0.72	1	1.2	0.8	102.47	64.81	74.07	0.16	12.5	0.45	14.35
serico169	BON	BON	1.08	1.075	0.725	0.28	1.023	0.899	0.8	0.153	10	1.271	0.25	0.25	0.806	1.209	0.72	1	1.125	0.75	105.57	67.13	74.07	0.12	14.17	0.45	11.48
serico170	BON	BON	1.023	1.1	0.704	0.304	0.992	0.868	0.8	0.176	10	1.38	0.275	0.25	0.806	1.2	0.68	1	1.15	0.725	103.13	68.82	78.2	0.12	17.2	0.4	12.12
serico171	BON	BON	1.12	1.16	0.725	0.275	1.085	0.961	0.8	0.171	10	1.4	0.28	0.24	0.96	1.25	0.744	1.085	1.178	0.775	103.23	64.73	71.43	0.12	15.27	0.45	11.07
serico172	BON	BON	1.054	1.054	0.675	0.275	1.05	0.925	0.8	0.135	10	1.4	0.275	0.25	0.868	1.225	0.675	0.961	1.116	0.744	100.38	64.04	75.9	0.13	12.81	0.4	11.86
serico173	BON	BON	1.25	1.28	0.85	0.3	1.178	0.992	0.925	0.175	11	1.52	0.3	0.279	1.071	1.449	0.88	1.25	1.302	0.806	106.11	68	74	0.19	14	0.55	14.88
serico174	BON	BON	1.16	1.16	0.78	0.32	1.125	0.975	0.837	0.18	11	1.457	0.3	0.275	0.88	1.4	0.775	1.125	1.25	0.775	103.11	67.24	72.16	0.15	15.52	0.46	12.93
serico175	BON	BON	1.08	1.1	0.736	0.32	1.05	0.925	0.8	0.15	10	1.302	0.3	0.25	0.837	1.2	0.725	1.05	1.15	0.7	102.86	68.15	74.07	0.13	13.89	0.42	11.57
serico176	BON	BON	1.054	1.085	0.75	0.3	1.05	0.925	0.78	0.16	10	1.395	0.35	0.275	0.868	1.178	0.744	1.054	1.147	0.713	100.38	71.16	74	0.13	15.18	0.45	11.86
serico177	BON	BON	1.1	1.085	0.76	0.3	1.025	0.9	0.78	0.144	9	1.302	0.28	0.25	0.899	1.2	0.72	1.023	1.147	0.713	107.32	69.09	70.91	0.13	13.09	0.46	11.36
serico178	BON	BON	1.023	1.023	0.74	0.272	1.025	0.9	0.744	0.16	10	1.271	0.28	0.22	0.9	1.2	0.7	1.04	1.12	0.72	99.8	72.34	72.73	0.13	15.64	0.47	12.22
serico179	BON	BON	1.125	1.15	0.775	0.275	1.075	0.95	0.8	0.153	9	1.32	0.275	0.225	0.95	1.225	0.72	1.054	1.178	0.744	104.65	68.89	71.11	0.13	13.6	0.5	11.11
serico180	BON	BON	1.275	1.275	0.82	0.32	1.2	1	0.837	0.171	11	1.55	0.35	0.275	1.05	1.275	0.925	1.2	1.4	0.8	106.25	64.31	65.65	0.2	13.41	0.5	15.69
serico181	BON	BON	1.18	1.18	0.75	0.275	1.16	1	0.85	0.153	11	1.475	0.34	0.26	0.88	1.275	0.806	1.08	1.28	0.775	101.72	63.56	72.03	0.16	12.97	0.48	13.56
serico182	BON	BON	1.2	1.25	0.775	0.24	1.2	1.04	0.837	0.192	11	1.56	0.38	0.26	1.04	1.24	0.868	1.2	1.36	0.84	100	64.58	69.75	0.16	16	0.54	13.33
serico183	BON	BON	1.209	1.209	0.775	0.279	1.209	1.023	0.899	0.192	10	1.6	0.341	0.248	1.08	1.333	0.92	1.16	1.4	0.8	100	64.1	74.36	0.19	15.88	0.5	15.38
serico184	BON	BON	1.209	1.24	0.84	0.28	1.209	1.023	0.88	0.2	11	1.52	0.272	0.224	1.075	1.333	0.88	1.209	1.364	0.775	100	69.48	72.79	0.19	16.54	0.56	15.38
serico185	BON	BON	1.333	1.4	0.93	0.375	1.28	1.12	0.9	0.171	11	1.643	0.35	0.3	1.054	1.449	1	1.36	1.56	0.84	104.14	69.77	67.52	0.16	12.83	0.56	12
serico186	BON	BON	1.225	1.275	0.837	0.341	1.116	0.992	0.837	0.171	10	1.55	0.31	0.248	1.05	1.35	0.92	1.24	1.36	0.84	109.77	68.33	68.33	0.12	13.96	0.5	10.12
serico187	BON	BON	1.32	1.32	0.9	0.3	1.209	1.054	0.837	0.18	11	1.581	0.275	0.225	1.12	1.48	0.93	1.32	1.48	0.837	109.18	68.18	63.41	0.16	13.64	0.6	11.74
serico188	BON	BON	1.4	1.4	1	0.38	1.302	1.116	0.96	0.189	11	1.76	0.28	0.24	1.24	1.52	1.023	1.4	1.56	0.84	107.53	71.43	68.57	0.19	13.5	0.62	13.29
serico189	BON	BON	1.1	1.125	0.75	0.275	1.054	0.899	0.775	0.153	11	1.395	0.3	0.22	0.899	1.209	0.725	1.04	1.16	0.76	104.36	68.18	70.45	0.16	13.91	0.48	14.09
serico190	BON	BON	1.15	1.15	0.775	0.25	1.085	0.93	0.8	0.176	10	1.426	0.304	0.24	0.961	1.3	0.744	1.12	1.24	0.8	105.99	67.39	69.57	0.16	15.3	0.53	13.48
serico191	BON	BON	1.24	1.28	0.8	0.3	1.2	1.04	0.875	0.184	11	1.581	0.28	0.26	1.08	1.375	0.868	1.24	1.4	0.88	103.33	64.52	70.56	0.16	14.84	0.5	12.9
serico192	BON	BON	1.2	1.24	0.8	0.25	1.116	0.992	0.806	0.192	10	1.488	0.3	0.26	1.054	1.333	0.806	1.28	1.36	0.88	107.53	66.67	67.17	0.12	16	0.55	10.33
serico193	BON	BON	1.125	1.125	0.74	0.22	1.023	0.868	0.825	0.168	10	1.4	0.32	0.225	0.95	1.24	0.75	1.08	1.2	0.8	109.97	65.78	73.33	0.16	14.93	0.52	13.78
serico194	BON	BON	1.1	1.1	0.72	0.26	1.075	0.925	0.8	0.161	9	1.395	0.248	0.217	0.95	1.275	0.66	1.08	1.16	0.76	102.33	65.45	72.73	0.15	14.64	0.46	13.64
serico195	BON	BON	1.125	1.125	0.74	0.24	1.075	0.925	0.775	0.176	11	1.395	0.31	0.248	0.961	1.3	0.74	1.08	1.2	0.84	104.65	65.78	68.89	0.15	15.64	0.5	13.33
serico196	BON	BON	1.147	1.147	0.78	0.3	1.085	0.93	0.8	0.175	10	1.457	0.341	0.248	0.961	1.325	0.875	1.147	1.24	0.713	105.71	68	69.75	0.16	15.26	0.48	13.51
serico197	BON	BON	1.116	1.116	0.768	0.304	1.1	0.95	0.8	0.175	10	1.364	0.35	0.25	0.868	1.24	0.76	1.1	1.225	0.725	101.45	68.82	71.68	0.15	15.68	0.46	13.44
serico198	BON	BON	1.085	1.147	0.7	0.26	1.054	0.93	0.775	0.153	12	1.333	0.31	0.217	0.899	1.24	0.72	1.023	1.178	0.775	102.94	64.52	71.43	0.12	14.1	0.44	11.43
serico199	BON	BON	1.12	1.12	0.75	0.275	1.04	0.88	0.775	0.192	10	1.395	0.3	0.26	0.899	1.225	0.76	1.12	1.16	0.76	107.69	66.96	69.2	0.16	17.14	0.48	14.29
serico200	BON	BON	1.178	1.178	0.8	0.25	1.085	0.93	0.8	0.162	11	1.52	0.36	0.225	1	1.275	0.8	1.16	1.28	0.8	108.57	67.91	67.91	0.16	13.75	0.55	13.16
serico201	BON_RH	BON	1.125	1.15	0.74	0.272	1.1	0.95	0.8	0.153	9	1.425	0.25	0.2	0.93	1.22	0.75	1.1	1.25	0.8	102.27	65.78	71.11	0.15	13.6	0.47	13.33
serico202	BON_RH	BON	1.16	1.16	0.752	0.272	1.1	0.95	0.744	0.168	10	1.425	0.25	0.225	0.93	1.25	0.725	1.054	1.209	0.74	105.45	64.83	64.14	0.15	14.48	0.48	12.93
serico203	BON_RH	BON	1.25	1.275	0.775	0.288	1.178	0.992	0.837	0.192	10	1.519	0.304	0.24	0.96	1.35	0.806	1.175	1.4	0.8	106.11	62	66.96	0.19	15.36	0.49	14.88
serico204	BON_RH	BON	1.25	1.3	0.8	0.272	1.147	0.992	0.806	0.162	10	1.519	0.275	0.225	0.992	1.302	0.806	1.209	1.395	0.899	108.98	64	64.48	0.16	12.96	0.53	12.4
serico205	BON_RH	BON	1.075	1.1	0.7	0.28	1.05	0.975	0.825	0.153	10	1.36	0.24	0.18	0.95	1.24	0.7	1.05	1.2	0.725	102.38	65.12	76.74	0.08	14.23	0.42	6.98
serico206	BON_RH	BON	1.116	1.147	0.74	0.28	1.085	0.93	0.775	0.162	10	1.425	0.272	0.224	0.899	1.275	0.775	1.023	1.209	0.82	102.86	66.31	69.44	0.16	14.52	0.46	13.89
serico207	BON_RH	BON	1.085	1.116	0.744	0.248	1.1	0.95	0.8	0.175	11	1.48	0.279	0.217	0.961	1.271	0.744	1.054	1.178	0.713	98.64	68.57	73.73	0.15	16.13	0.5	13.82
serico208	BON_RH	BON	1.2	1.225	0.8	0.3	1.175	1	0.837	0.18	11	1.488	0.31	0.22	1.04	1.35	0.8	1.125	1.3	0.775	102.13	66.67	69.75	0.18	15	0.5	14.58
serico209	BON	BON	1.125	1.125	0.768	0.288	1.054	0.93	0.744	0.176	10	1.45	0.26	0.24	1	1.209	0.775	1.1	1.25	0.725	106.74	68.27	66.13	0.12	15.64	0.48	11.02
serico210	BON	BON	1.18	1.2	0.752	0.288	1.125	0.975	0.775	0.176	10	1.426	0.3	0.275	0.961	1.271	0.8	1.085	1.24	0.74	104.89	63.73	65.68	0.15	14.92	0.46	12.71
serico211	BON	BON	1.333	1.333	0.944	0.32	1.271	1.054	0.92	0.2	10	1.68	0.4	0.275	1.147	1.5	0.975	1.302	1.519	0.868	104.88	70.82	69.02	0.22	15	0.62	16.28
serico212	BON	BON	1.04	1.04	0.688	0.272	1.025	0.9	0.775	0.144	10	1.36	0.3	0.22	0.868	1.175	0.72	1	1.12	0.68	101.46	66.15	74.52	0.13	13.85	0.42	12.02
serico213	BON	BON	1.16	1.2	0.784	0.272	1.085	0.961	0.8	0.192	12	1.488	0.248	0.186	1.05	1.271	0.8	1.16	1.24	0.76	106.91	67.59	68.97	0.12	16.55	0.51	10.69
serico214	PAR	PAR	0.9	0.925	0.624	0.26	0.875	0.8	0.64	0.153	NA	1.225	0.25	0.16	0.825	0.92	0.62	0.837	0.93	0.6	102.86	69.33	71.11	0.08	17	0.36	8.33
serico215	PAR	PAR	0.85	0.875	0.62	0.2	0.85	0.775	0.65	0.147	8	1.12	0.3	0.24	0.9	0.832	0.625	0.875	1.025	0.625	100	72.94	76.47	0.08	17.29	0.42	8.82
serico216	PAR	PAR	0.837	0.868	0.58	0.18	0.806	0.744	0.6	0.144	8	1.12	0.28	0.2	0.8	0.82	0.6	0.775	0.93	0.62	103.85	69.3	71.68	0.06	17.2	0.4	7.41
serico217	PAR	PAR	0.82	0.84	0.55	0.224	0.775	0.725	0.589	0.14	8	1.025	0.275	0.225	0.76	0.8	0.575	0.713	0.868	0.558	105.81	67.07	71.83	0.05	17.07	0.33	6.1
serico218	PAR	PAR	0.88	0.9	0.6	0.208	0.875	0.8	0.625	0.147	8	1.054	0.279	0.217	0.806	0.775	0.6	0.806	0.961	0.62	100.57	68.18	71.02	0.08	16.7	0.39	8.52
serico219	PAR	PAR	0.825	0.85	0.55	0.176	0.8	0.725	0.575	0.144	8	1.05	0.28	0.18	0.825	0.825	0.64	0.8	0.925	0.575	103.13	66.67	69.7	0.08	17.45	0.37	9.09
serico220	PAR	PAR	0.85	0.875	0.608	0.192	0.84	0.76	0.62	0.126	7	1.085	0.28	0.2	0.806	0.8	0.6	0.85	0.975	0.55	101.19	71.53	72.94	0.08	14.82	0.42	9.41
serico221	PAR	PAR	0.85	0.85	0.6	0.2	0.86	0.76	0.6	0.135	9	1.12	0.275	0.2	0.8	0.864	0.6	0.8	0.96	0.575	98.84	70.59	70.59	0.1	15.88	0.4	11.76
serico222	PAR	PAR	0.88	0.925	0.62	0.279	0.868	0.775	0.62	0.144	8	1.2	0.341	0.217	0.837	0.92	0.64	0.9	0.975	0.62	101.38	70.45	70.45	0.09	16.36	0.34	10.57
serico223	PAR	PAR	0.8	0.825	0.575	0.25	0.82	0.74	0.58	0.147	8	1.08	0.3	0.2	0.74	0.8	0.624	0.775	0.899	0.558	97.56	71.88	72.5	0.08	18.38	0.33	10
serico224	PAR	PAR	0.82	0.82	0.56	0.22	0.84	0.74	0.58	0.14	7	1.023	0.279	0.225	0.775	0.84	0.64	0.84	0.9	0.6	97.62	68.29	70.73	0.1	17.07	0.34	12.2
serico225	PAR	PAR	0.768	0.8	0.544	0.208	0.775	0.7	0.576	0.14	7	0.992	0.279	0.217	0.682	0.8	0.544	0.8	0.9	0.55	99.1	70.83	75	0.08	18.23	0.34	9.77
serico226	PAR	PAR	0.775	0.775	0.544	0.176	0.8	0.72	0.6	0.144	9	1	0.24	0.2	0.713	0.784	0.575	0.744	0.837	0.527	96.88	70.19	77.42	0.08	18.58	0.37	10.32
serico227	PAR	PAR	0.825	0.825	0.54	0.2	0.8	0.7	0.525	0.117	6	1.075	0.224	0.176	0.74	0.8	0.592	0.775	0.875	0.55	103.13	65.45	63.64	0.1	14.18	0.34	12.12
serico228	PAR	PAR	0.84	0.84	0.6	0.22	0.8	0.725	0.6	0.147	8	1.025	0.3	0.192	0.75	0.84	0.6	0.84	0.92	0.6	105	71.43	71.43	0.08	17.5	0.38	8.93
serico229	PAR	PAR	0.806	0.806	0.592	0.248	0.8	0.74	0.575	0.135	8	1.04	0.26	0.24	0.744	0.832	0.544	0.713	0.837	0.558	100.75	73.45	71.34	0.06	16.75	0.34	7.44
serico230	PAR	PAR	0.75	0.775	0.512	0.192	0.76	0.72	0.56	0.14	7	0.94	0.24	0.18	0.7	0.72	0.512	0.65	0.85	0.525	98.68	68.27	74.67	0.04	18.67	0.32	5.33
serico231	PAR	PAR	0.8	0.8	0.528	0.2	0.78	0.72	0.56	0.147	7	1.02	0.248	0.217	0.74	0.68	0.512	0.713	0.837	0.558	102.56	66	70	0.06	18.38	0.33	7.5
serico232	PAR	PAR	0.85	0.875	0.56	0.208	0.825	0.75	0.58	0.154	9	1.054	0.248	0.217	0.744	0.8	0.55	0.713	0.868	0.527	103.03	65.88	68.24	0.08	18.12	0.35	8.82
serico233	PAR	PAR	0.72	0.76	0.52	0.2	0.768	0.704	0.558	0.133	8	0.95	0.25	0.2	0.682	0.8	0.54	0.682	0.806	0.527	93.75	72.22	77.5	0.06	18.47	0.32	8.89
serico234	PAR	PAR	0.775	0.775	0.528	0.208	0.744	0.682	0.544	0.125	8	0.96	0.217	0.186	0.725	0.784	0.56	0.76	0.84	0.6	104.17	68.13	70.19	0.06	16.13	0.32	8
serico235	PAR	PAR	0.9	0.9	0.62	0.22	0.85	0.775	0.6	0.126	8	1.125	0.25	0.18	0.806	0.88	0.625	0.84	0.96	0.64	105.88	68.89	66.67	0.08	14	0.4	8.33
serico236	PAR	PAR	0.825	0.85	0.6	0.2	0.85	0.775	0.58	0.144	8	1.1	0.25	0.225	0.8	0.85	0.6	0.8	0.92	0.6	97.06	72.73	70.3	0.08	17.45	0.4	9.09
serico237	PAR	PAR	0.8	0.85	0.544	0.208	0.8	0.74	0.58	0.117	7	0.95	0.217	0.186	0.75	0.825	0.54	0.775	0.868	0.527	100	68	72.5	0.06	14.63	0.34	7.5
serico238	PAR	PAR	0.775	0.775	0.55	0.2	0.775	0.7	0.6	0.133	7	1.02	0.208	0.192	0.713	0.775	0.528	0.75	0.875	0.55	100	70.97	77.42	0.08	17.16	0.35	9.68
serico239	PAR	PAR	0.775	0.806	0.56	0.2	0.8	0.725	0.575	0.136	7	1.05	0.225	0.175	0.775	0.816	0.56	0.78	0.9	0.6	96.88	72.26	74.19	0.08	17.55	0.36	9.68
serico240	PAR	PAR	0.825	0.825	0.58	0.22	0.825	0.75	0.558	0.136	NA	1.023	0.248	0.217	0.744	0.85	0.575	0.8	0.92	0.6	100	70.3	67.64	0.08	16.48	0.36	9.09
serico241	PAR	PAR	0.848	0.848	0.608	0.224	0.82	0.76	0.6	0.144	9	1.1	0.325	0.2	0.806	0.9	0.575	0.925	0.925	0.6	103.41	71.7	70.75	0.06	16.98	0.38	7.08
serico242	PAR	PAR	0.868	0.868	0.592	0.208	0.84	0.76	0.6	0.135	8	1.14	0.256	0.176	0.8	0.9	0.55	0.8	0.94	0.6	103.33	68.2	69.12	0.08	15.55	0.38	9.22
serico243	PAR	PAR	0.775	0.775	0.544	0.192	0.74	0.7	0.55	0.117	8	0.98	0.24	0.16	0.713	0.784	0.55	0.66	0.86	0.5	104.73	70.19	70.97	0.04	15.1	0.35	5.16
serico244	PAR	PAR	0.806	0.837	0.608	0.208	0.82	0.74	0.58	0.128	6	1.075	0.24	0.15	0.78	0.912	0.576	0.82	0.92	0.56	98.29	75.43	71.96	0.08	15.88	0.4	9.93
serico245	PAR	PAR	0.86	0.88	0.62	0.22	0.84	0.76	0.625	0.126	7	1.085	0.224	0.16	0.775	0.96	0.589	0.86	0.94	0.6	102.38	72.09	72.67	0.08	14.65	0.4	9.3
serico246	PAR	PAR	0.7	0.72	0.464	0.176	0.688	0.64	0.48	0.119	7	0.875	0.192	0.16	0.66	0.672	0.48	0.6	0.74	0.48	101.74	66.29	68.57	0.05	17	0.29	6.86
serico247	PAR	PAR	0.7	0.72	0.423	0.162	0.704	0.64	0.48	0.126	6	0.9	0.24	0.128	0.66	0.65	0.496	0.64	0.76	0.5	99.43	60.43	68.57	0.06	18	0.26	9.14
serico248	PAR	PAR	0.88	0.92	0.608	0.24	0.85	0.775	0.65	0.117	7	1.1	0.28	0.18	0.806	0.9	0.589	0.775	0.925	0.575	103.53	69.09	73.86	0.08	13.3	0.37	8.52
serico249	PAR	PAR	0.725	0.75	0.5	0.175	0.72	0.656	0.5	0.108	7	0.9	0.175	0.16	0.688	0.704	0.48	0.7	0.78	0.5	100.69	68.97	68.97	0.06	14.9	0.33	8.83
serico250	PAR	PAR	0.88	0.88	0.58	0.22	0.85	0.75	0.6	0.14	9	0.85	0.248	0.186	0.806	0.88	0.62	0.84	0.98	0.6	103.53	65.91	68.18	0.1	15.91	0.36	11.36
serico251	PAR	PAR	0.825	0.85	0.56	0.192	0.8	0.72	0.6	0.144	8	1.085	0.2	0.18	0.82	0.88	0.62	0.85	0.9	0.55	103.13	67.88	72.73	0.08	17.45	0.37	9.7
serico252	PAR	PAR	0.9	0.925	0.624	0.224	0.88	0.8	0.65	0.135	7	1.15	0.26	0.16	0.875	0.92	0.64	0.875	1	0.575	102.27	69.33	72.22	0.08	15	0.4	8.89
serico253	PAR	PAR	0.85	0.875	0.592	0.224	0.825	0.75	0.575	0.126	NA	1.075	0.26	0.175	0.744	0.85	0.6	0.86	0.96	0.56	103.03	69.65	67.65	0.08	14.82	0.37	8.82
serico254	PAR	PAR	0.775	0.775	0.56	0.208	0.78	0.72	0.589	0.126	8	1.025	0.225	0.16	0.713	0.8	0.55	0.76	0.875	0.55	99.36	72.26	76	0.06	16.26	0.35	7.74
serico255	PAR	PAR	0.9	0.9	0.576	0.224	0.9	0.82	0.65	0.126	8	1.15	0.272	0.192	0.806	0.925	0.558	0.825	0.95	0.6	100	64	72.22	0.08	14	0.35	8.89
