ID	Population	Taxon	HWe	HW	IFW1	IFW2	HL1	HL2	ScL	EL	Om	WL	PL	PPL	GL	HFL	PrW	hw1	hw2	hw3	CI	FLI	SI	notch	EI	FLD	CEI
serico29	OPA_1	OPA	0.868	0.899	0.64	0.192	0.86	0.76	0.62	0.144	8	1.175	0.275	0.2	0.8	0.9	0.625	0.837	0.992	0.608	100.93	73.73	71.43	0.1	16.59	0.45	11.52
serico30	OPA_1	OPA	0.9	0.9	0.625	0.2	0.94	0.86	0.625	0.16	NA	1.15	0.216	0.2	0.88	0.888	0.6	0.875	1	0.625	95.74	69.44	69.44	0.08	17.78	0.43	8.89
serico31	OPA_1	OPA	0.925	0.925	0.65	0.225	0.9	0.825	0.65	0.135	8	1.178	0.248	0.217	0.96	0.96	0.6	0.868	0.992	0.62	102.78	70.27	70.27	0.08	14.59	0.43	8.11
serico32	OPA_1	OPA	0.96	1	0.68	0.22	0.98	0.88	0.68	0.176	7	1.26	0.26	0.24	0.93	0.961	0.65	0.95	1.075	0.65	97.96	70.83	70.83	0.1	18.33	0.46	10.42
serico33	OPA_1	OPA	0.9	0.85	0.65	0.2	0.9	0.825	0.608	0.14	8	1.15	0.24	0.24	0.868	0.944	0.6	0.875	0.975	0.625	100	72.22	67.56	0.08	15.56	0.45	8.33
serico34	OPA_1	OPA	0.899	0.899	0.675	0.2	0.95	0.85	0.65	0.152	9	1.248	0.256	0.24	0.925	0.96	0.6	0.88	1.04	0.68	94.63	75.08	72.3	0.1	16.91	0.48	11.12
serico35	OPA_1	OPA	0.925	0.975	0.672	0.224	0.9	0.825	0.62	0.128	8	1.225	0.25	0.2	0.96	0.95	0.6	0.868	0.992	0.744	102.78	72.65	67.03	0.08	13.84	0.45	8.11
serico36	OPA_2	OPA	0.85	0.88	0.608	0.24	0.88	0.82	0.6	0.117	7	1.085	0.27	0.18	0.88	0.8	0.589	0.88	0.98	0.58	96.59	71.53	70.59	0.06	13.76	0.37	7.06
serico37	OPA_2	OPA	0.875	0.868	0.64	0.25	0.88	0.8	0.6	0.1375	7	1.1	0.288	0.2	0.88	0.84	0.6	0.868	0.93	0.558	99.43	73.14	68.57	0.08	15.71	0.39	9.14
serico38	OPA_2	OPA	0.925	0.925	0.656	0.24	0.9	0.8	0.62	0.144	NA	1.085	0.275	0.225	0.85	0.868	0.625	0.9	1	0.625	102.78	70.92	67.03	0.1	15.57	0.42	10.81
serico39	OPA_2	OPA	0.9	0.925	0.62	0.18	0.9	0.8	0.64	0.1375	7	1.054	0.272	0.208	0.875	0.899	0.62	0.925	1	0.6	100	68.89	71.11	0.1	15.28	0.44	11.11
serico40	OPA_2	OPA	0.9	0.9	0.624	0.2375	0.875	0.8	0.625	0.117	6	1.1	0.25	0.18	0.837	0.875	0.62	0.868	0.961	0.6	102.86	69.33	69.44	0.08	13	0.39	8.33
serico41	OPA_2	OPA	0.84	0.86	0.6	0.22	0.85	0.775	0.575	0.128	7	1.023	0.248	0.186	0.806	0.8	0.56	0.86	0.92	0.6	98.82	71.43	68.45	0.08	15.24	0.38	8.93
serico42	OPA_2	OPA	0.96	0.96	0.682	0.256	0.961	0.868	0.66	0.144	NA	1.209	0.2625	0.22	0.94	0.95	0.68	0.992	1.085	0.62	99.9	71.04	68.75	0.09	15	0.43	9.69
serico43	OPA_2	OPA	0.98	0.98	0.725	0.24	0.96	0.88	0.7	0.154	7	1.24	0.26	0.22	0.96	0.95	0.651	0.95	1.1	0.624	102.08	73.98	71.43	0.08	15.71	0.49	8.16
serico44	OPA_2	OPA	0.82	0.8	0.592	0.208	0.82	0.76	0.592	0.136	7	1.054	0.288	0.192	0.806	0.84	0.544	0.775	0.9	0.544	100	72.2	72.2	0.06	16.59	0.38	7.32
serico45	OPA_2	OPA	0.98	1	0.688	0.256	1	0.85	0.68	0.135	7	1.209	0.3	0.2	1	0.975	0.7	1	1.125	0.625	98	70.2	69.39	0.15	13.78	0.43	15.31
serico46	OPA_2	OPA	0.84	0.84	0.576	0.224	0.84	0.76	0.6	0.144	7	1.05	0.22	0.18	0.806	0.832	0.558	0.78	0.94	0.56	100	68.57	71.43	0.08	17.14	0.35	9.52
serico47	OPA_3	OPA	0.88	0.9	0.608	0.22	0.85	0.775	0.589	0.117	7	1.054	0.26	0.2	0.84	0.925	0.56	0.775	0.899	0.6	103.53	69.09	66.93	0.08	13.3	0.39	8.52
serico48	OPA_3	OPA	0.85	0.875	0.54	0.224	0.875	0.8	0.62	0.117	8	1.08	0.225	0.2	0.806	0.925	0.558	0.775	0.925	0.56	97.14	63.53	72.94	0.08	13.76	0.32	8.82
serico49	OPA_3	OPA	0.86	0.86	0.56	0.208	0.825	0.75	0.589	0.117	7	1.075	0.2	0.18	0.8	0.875	0.512	0.8	0.92	0.58	104.24	65.12	68.49	0.08	13.6	0.35	8.72
serico50	OPA_3	OPA	0.88	0.9	0.608	0.2	0.9	0.825	0.589	0.126	8	1.085	0.256	0.176	0.806	0.899	0.575	0.85	0.925	0.56	97.78	69.09	66.93	0.08	14.32	0.41	8.52
serico51	OPA_3	OPA	0.85	0.85	0.592	0.224	0.86	0.8	0.6	0.14	7	1.125	0.2	0.176	0.84	0.9	0.544	0.825	0.925	0.576	98.84	69.65	70.59	0.06	16.47	0.37	7.06
serico52	OPA_3	OPA	0.96	0.96	0.68	0.22	0.95	0.875	0.675	0.135	8	1.2	0.224	0.192	0.925	1	0.64	0.92	1.04	0.62	101.05	70.83	70.31	0.08	14.06	0.46	7.81
serico56	OPA_1	OPA	0.94	0.96	0.608	0.192	0.92	0.86	0.675	0.182	10	1.24	0.208	0.18	0.868	0.976	0.58	0.875	1	0.64	102.17	64.68	71.81	0.06	19.36	0.42	6.38
